timestamp,aX,aY,aZ,gX,gY,gZ
8580,685,-778,-99,-2.136,-14.832,11.902
8588,677,-773,-103,-2.563,-15.076,10.742
8597,667,-766,-110,-3.418,-12.390,9.644
8606,672,-756,-120,-4.456,-8.667,8.484
8614,685,-746,-122,-5.066,-4.211,7.141
8622,706,-729,-118,-5.249,61,5.859
8631,724,-717,-118,-4.883,2.563,4.822
8639,736,-709,-118,-3.479,2.747,4.150
8648,742,-701,-121,-1.648,916,3.845
8656,738,-704,-130,61,-2.075,4.211
8665,727,-711,-133,1.709,-5.493,4.456
8673,713,-724,-135,2.075,-8.057,5.249
8682,696,-737,-142,916,-8.606,5.310
8690,682,-740,-148,-1.038,-6.714,4.578
8699,678,-733,-145,-3.540,-3.418,3.601
8707,689,-716,-131,-6.042,488,2.441
8715,705,-699,-118,-7.935,3.723,1.343
8724,719,-691,-108,-8.118,5.615,977
8732,719,-693,-102,-7.202,4.761,1.282
8741,712,-696,-100,-5.920,1.770,1.770
8749,704,-694,-99,-4.822,-1.953,2.563
8758,695,-688,-102,-4.150,-4.822,3.357
8766,690,-694,-104,-2.747,-5.249,3.967
8775,686,-712,-113,-1.282,-3.967,4.700
8783,683,-724,-123,-854,-2.258,5.249
8792,679,-732,-131,-977,-244,5.432
8800,667,-739,-140,-1.465,1.038,5.310
8809,656,-740,-142,-2.075,1.343,5.066
8817,655,-719,-136,-3.174,1.221,4.883
8826,671,-698,-123,-5.127,2.319,5.493
8834,704,-697,-105,-6.042,5.798,5.615
,,,,,,
9884,1.455,766,555,-51.758,-4.578,84.778
9893,1.403,772,586,-42.297,-15.625,68.054
9901,1.376,774,556,-37.781,-13.672,47.852
9909,1.335,799,498,-32.043,-6.531,31.860
9918,1.282,773,459,-22.888,-1.587,20.569
9926,1.249,677,432,-11.169,2.502,12.939
9935,1.240,538,396,1.831,6.226,6.470
9944,1.238,428,352,12.146,8.423,732
9952,1.213,357,292,18.433,8.789,-4.822
9960,1.178,315,242,21.606,9.338,-10.864
9969,1.147,317,191,22.217,9.460,-15.747
9977,1.130,322,143,21.729,10.498,-19.653
9986,1.140,278,98,22.034,11.719,-23.437
9994,1.172,189,65,23.193,11.475,-28.076
10003,1.173,79,51,23.132,9.338,-35.095
10011,1.129,-1,65,21.667,8.301,-43.884
10020,1.084,-6,70,17.456,7.690,-52.979
10028,1.055,30,65,11.719,5.188,-59.387
10036,1.015,82,82,7.629,122,-61.218
10045,976,130,96,4.883,-4.761,-59.998
10054,951,154,89,3.113,-6.714,-57.678
10062,963,155,82,5.371,-5.493,-55.786
10070,1.006,91,54,10.254,-1.709,-55.542
10079,1.045,-31,32,13.916,4.272,-58.777
10087,1.093,-151,43,18.188,10.925,-64.514
10096,1.125,-272,71,19.287,13.306,-70.435
10104,1.089,-358,96,17.883,9.827,-73.914
10113,1.025,-383,121,15.442,3.052,-77.026
10121,964,-362,134,12.024,-4.028,-80.139
10130,924,-295,150,8.362,-8.240,-81.726
10138,899,-214,151,5.493,-6.592,-81.726
10147,917,-148,157,5.615,1.648,-83.130
10155,982,-116,170,8.728,14.526,-86.792
10164,1.005,-122,150,11.719,27.283,-91.064
10172,1.000,-138,108,14.343,35.156,-95.642
10180,968,-144,59,15.503,36.377,-98.633
10189,875,-168,-5,14.771,33.142,-97.412
10197,785,-227,-46,18.555,28.564,-92.224
10206,727,-315,-92,26.978,25.635,-85.083
10214,681,-442,-128,35.889,25.024,-76.782
10223,693,-557,-144,42.236,25.940,-68.909
10231,720,-678,-172,41.443,28.503,-64.514
10240,743,-740,-148,36.072,35.095,-66.406
10248,796,-713,-96,25.513,43.152,-74.158
10256,829,-635,-20,9.460,53.345,-82.642
10265,824,-532,43,-2.747,67.566,-89.355
10274,795,-477,63,-5.798,83.496,-95.642
10282,727,-478,53,1.953,96.619,-101.196
10290,663,-542,2,18.311,105.225,-103.943
10299,601,-651,-87,37.292,106.079,-101.196
10307,540,-767,-196,53.589,95.581,-93.750
10316,497,-895,-325,64.026,77.026,-84.290
10324,441,-1.032,-440,67.200,54.688,-75.623
10333,374,-1.158,-525,66.650,30.823,-70.313
10341,290,-1.235,-588,62.744,7.141,-68.359
10350,200,-1.293,-664,55.359,-14.709,-69.275
10358,69,-1.326,-711,46.936,-35.095,-72.266
10367,-83,-1.310,-755,38.940,-53.528,-76.416
10375,-239,-1.245,-789,30.273,-69.885,-80.322
10384,-369,-1.140,-814,22.522,-80.627,-81.055
10392,-499,-1.021,-876,17.029,-83.313,-77.087
10401,-571,-945,-927,17.090,-79.407,-65.491
10409,-555,-930,-982,18.127,-70.374,-43.945
10417,-517,-972,-1.027,14.893,-55.542,-14.648
10426,-388,-1.025,-987,7.568,-33.142,12.390
10435,-132,-1.040,-884,-2.319,-6.592,31.921
10443,135,-1.024,-753,-12.695,20.142,43.152
10451,350,-1.010,-595,-20.630,43.335,45.898
10460,555,-948,-456,-26.489,58.350,41.138
10468,741,-868,-338,-30.151,64.758,33.752
10477,902,-793,-228,-30.518,63.171,28.259
10485,1.015,-737,-150,-27.283,54.077,25.330
10494,1.079,-713,-130,-20.386,41.077,22.827
10502,1.095,-729,-126,-10.803,28.870,19.897
10511,1.061,-775,-133,-1.709,18.127,15.930
10519,995,-831,-169,4.700,9.338,10.803
10528,907,-873,-207,8.301,3.784,5.127
10536,829,-890,-238,9.338,793,61
10545,756,-897,-264,8.728,-244,-3.967
10553,705,-889,-277,7.812,-1.038,-7.690
10561,674,-873,-290,6.104,-3.235,-10.498
10570,643,-854,-297,4.456,-7.935,-12.512
10578,620,-833,-295,2.563,-14.771,-13.489
10587,598,-810,-294,-610,-21.545,-13.000
10595,572,-792,-291,-2.441,-25.940,-11.902
10604,554,-777,-294,-2.991,-27.588,-11.047
10612,543,-768,-294,-3.479,-26.855,-9.644
10621,540,-776,-290,-3.540,-23.071,-8.240
10629,540,-786,-289,-3.113,-18.066,-7.812
